#########################################################################################################
# Mass-radius curves for irradiated ocean planets (0.2 M_Earth to 20 M_Earth)
# 
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# T_b : temperature at the boundary between the interior and the atmosphere model (in K)
# M_b : mass of the interior part of the planet (in units of M_Earth), obtained by integrating the density profile
# M_a : mass of the atmosphere of the planet (in units of M_Earth), obtained by integrating the density profile
#       the mass of the planet is thus M_p = M_b + M_a
# R_b : radius of the interior part of the planet (in units of R_Earth)
# R_a : thickness of the atmosphere (in units of R_Earth)
#       the radius of the planet is thus R_p = R_b + R_a
# errcode : integer indicating if the run succeeded or failed, based on the success or fail to interpolate the atmosphere properties in the final iteration of the interior model
#           value 0 : the interpolation succeeded
#           value 1 : atmosphere properties are extrapolated beyond the range of parameters
#           value 2 : extrapolation yields to unphysical results
#
# 2024 update:
# Added case x_H2O = 0 from Zeng+2016 models
#
#########################################################################################################

#  x_core'     x_H2O     T_irr       T_b              M_b              M_a              R_b              R_a   errcode
   0.00000   0.30000   400.000  2406.544  2.878059178e+00  1.052843304e-03  1.824411199e+00  1.224118614e-01         0
   0.00000   0.30000   400.000  2382.081  3.667319160e+00  1.002159074e-03  1.920111655e+00  1.038870837e-01         0
   0.00000   0.30000   400.000  2354.030  4.672833049e+00  9.554043003e-04  2.022059601e+00  8.828759647e-02         0
   0.00000   0.30000   400.000  2316.918  5.953227062e+00  9.239765803e-04  2.129840067e+00  7.514377377e-02         0
   0.00000   0.30000   400.000  2286.446  7.589420709e+00  8.983240064e-04  2.246561751e+00  6.436748389e-02         0
   0.00000   0.30000   400.000  2260.282  9.668390559e+00  8.681394967e-04  2.367451309e+00  5.518884499e-02         0
   0.00000   0.30000   400.000  2237.774  1.231581097e+01  8.397370709e-04  2.496948743e+00  4.748546050e-02         0
   0.00000   0.30000   400.000  2214.457  1.570000186e+01  8.107045461e-04  2.634389551e+00  4.083517592e-02         0
   0.00000   0.30000   400.000  2176.664  1.999522290e+01  7.775783216e-04  2.775483427e+00  3.482206134e-02         0

   0.00000   0.40000   400.000  3726.999  2.095436860e-01  3.220020968e-28  1.191242502e+00  1.309317153e+00         2
   0.00000   0.40000   400.000  3110.193  2.539316806e-01  1.843635255e-03  1.437409327e+00  1.222992683e+00         2
   0.00000   0.40000   400.000  4500.000  3.239447643e-01  5.536219798e-28  1.485736942e+00  2.676210145e+00         2
   0.00000   0.40000   400.000  2905.823  4.138846146e-01  2.620368721e-03  1.450128515e+00  8.966808085e-01         1
   0.00000   0.40000   400.000  2745.478  5.275327592e-01  2.438800904e-03  1.456895804e+00  6.350456730e-01         1
   0.00000   0.40000   400.000  2673.296  6.720710571e-01  2.246083695e-03  1.490848844e+00  4.834788454e-01         1
   0.00000   0.40000   400.000  2615.312  8.565344852e-01  1.933840701e-03  1.538192096e+00  3.701387900e-01         0
   0.00000   0.40000   400.000  2569.110  1.091469338e+00  1.710195821e-03  1.595128707e+00  2.924733748e-01         0
   0.00000   0.40000   400.000  2535.165  1.390794511e+00  1.545718693e-03  1.661361398e+00  2.369610667e-01         0
   0.00000   0.40000   400.000  2500.746  1.772455287e+00  1.418385908e-03  1.735173041e+00  1.945008132e-01         0
   0.00000   0.40000   400.000  2456.319  2.258042621e+00  1.320016485e-03  1.814652027e+00  1.605662363e-01         0
   0.00000   0.40000   400.000  2422.404  2.877638647e+00  1.246904007e-03  1.903394676e+00  1.345284599e-01         0
   0.00000   0.40000   400.000  2394.765  3.667760189e+00  1.185374893e-03  1.999296831e+00  1.136665157e-01         0
   0.00000   0.40000   400.000  2371.445  4.672882222e+00  1.131715499e-03  2.102199922e+00  9.666364005e-02         0
   0.00000   0.40000   400.000  2334.187  5.954822197e+00  1.079497239e-03  2.210601835e+00  8.181142250e-02         0
   0.00000   0.40000   400.000  2300.705  7.585796239e+00  1.030661150e-03  2.325574820e+00  6.950562025e-02         0
   0.00000   0.40000   400.000  2273.041  9.668372704e+00  9.880427029e-04  2.450327988e+00  5.938799069e-02         0
   0.00000   0.40000   400.000  2248.695  1.232024536e+01  9.494299226e-04  2.580568794e+00  5.086903262e-02         0
   0.00000   0.40000   400.000  2226.562  1.569675092e+01  9.191957396e-04  2.716644699e+00  4.371593087e-02         0
   0.00000   0.40000   400.000  2191.037  1.999577917e+01  8.869335929e-04  2.859317403e+00  3.733081174e-02         0

   0.00000   0.50000   400.000  2996.578  2.093126474e-01  3.425433566e-28  1.267211305e+00  1.236508057e+00         2
   0.00000   0.50000   400.000  4058.013  2.542065470e-01  4.314229944e-28  1.290219130e+00  2.480267962e+00         2
   0.00000   0.50000   400.000  4500.000  3.237429817e-01  5.366311719e-28  1.521291894e+00  2.054654169e+00         2
   0.00000   0.50000   400.000  3111.590  4.139476440e-01  3.168872440e-03  1.586985685e+00  1.154493949e+00         1
   0.00000   0.50000   400.000  2816.752  5.275099741e-01  2.863920874e-03  1.553321589e+00  7.356100616e-01         1
   0.00000   0.50000   400.000  2700.035  6.723161778e-01  2.674726789e-03  1.574159305e+00  5.458061541e-01         1
   0.00000   0.50000   400.000  2642.579  8.564837514e-01  2.421539327e-03  1.618559121e+00  4.224464057e-01         0
   0.00000   0.50000   400.000  2588.216  1.091214594e+00  2.100905409e-03  1.672009562e+00  3.284545384e-01         0
   0.00000   0.50000   400.000  2549.793  1.390703298e+00  1.876891282e-03  1.736805921e+00  2.634343852e-01         0
   0.00000   0.50000   400.000  2519.953  1.772389604e+00  1.708747995e-03  1.810323272e+00  2.154618275e-01         0
   0.00000   0.50000   400.000  2475.169  2.258701325e+00  1.569613116e-03  1.889736655e+00  1.766731382e-01         0
   0.00000   0.50000   400.000  2437.282  2.877832857e+00  1.459554147e-03  1.977431015e+00  1.467282254e-01         0
   0.00000   0.50000   400.000  2407.220  3.667144829e+00  1.369236248e-03  2.073251050e+00  1.231462076e-01         0
   0.00000   0.50000   400.000  2382.061  4.674511860e+00  1.289756872e-03  2.175876712e+00  1.039913394e-01         0
   0.00000   0.50000   400.000  2352.898  5.953903792e+00  1.218288676e-03  2.285004149e+00  8.798907627e-02         0
   0.00000   0.50000   400.000  2315.166  7.586606806e+00  1.167762660e-03  2.401235874e+00  7.457459786e-02         0
   0.00000   0.50000   400.000  2284.254  9.668971707e+00  1.124331302e-03  2.526433760e+00  6.360150391e-02         0
   0.00000   0.50000   400.000  2257.765  1.231972596e+01  1.078805495e-03  2.657020723e+00  5.433515339e-02         0
   0.00000   0.50000   400.000  2234.632  1.570031211e+01  1.033520336e-03  2.794573690e+00  4.649694756e-02         0
   0.00000   0.50000   400.000  2206.210  1.999774969e+01  9.869503091e-04  2.937652457e+00  3.967969365e-02         0

   0.00000   0.60000   400.000  2798.077  2.093927006e-01  3.661471263e-28  1.344165191e+00  1.239154469e+00         2
   0.00000   0.60000   400.000  3291.616  2.540740534e-01  3.892215295e-28  1.362012809e+00  1.172683536e+00         2
   0.00000   0.60000   400.000  3127.050  3.234321297e-01  2.324159531e-03  1.648254500e+00  1.110349290e+00         2
   0.00000   0.60000   400.000  4175.264  4.119244741e-01  6.835017261e-28  1.763915493e+00  2.047992694e+00         2
